x,value,percentile,count,pred_0_q1,pred_0_q2,pred_0_q3,pred_1_q1,pred_1_q2,pred_1_q3,pred_2_q1,pred_2_q2,pred_2_q3
0,"[-0.98, -0.94)","[0.0, 11.11)",11,0.09698701116994433,0.14639738288754348,0.23088355024951185,0.6145007030272791,0.6916291077133234,0.7611779399379941,0.05372977371269231,0.12252366307669976,0.1604542682042905
1,"[-0.94, -0.88)","[11.11, 22.22)",10,0.1536759127069003,0.2032673301476684,0.2501371717274848,0.5635399859173209,0.6889478785173508,0.7317984432180658,0.045029198083951755,0.08827808101986202,0.2175922541025537
2,"[-0.88, -0.86)","[22.22, 33.33)",10,0.08820654019844133,0.09354344306146103,0.12666803033609125,0.7036253100222499,0.7730206686130661,0.8432542811460179,0.05569723671978308,0.07209093126859546,0.1541839127842673
3,"[-0.86, -0.83)","[33.33, 44.44)",6,0.15680942193827016,0.22363377499203307,0.2775145151158616,0.5312589569358996,0.5766365290287214,0.5992017431825354,0.07467135301887323,0.16831507254445166,0.2434168046180511
4,"[-0.83, -0.78)","[44.44, 55.56)",14,0.06119589791760843,0.10939729703906267,0.3016845652866468,0.5516195691894844,0.6249623120700265,0.7457638362160849,0.06677172914096371,0.09755738745754088,0.24448344779648593
5,"[-0.78, -0.71)","[55.56, 66.67)",7,0.05458337419411337,0.12731187363568883,0.2284157845083175,0.454133701439029,0.547459613313544,0.6503717337773431,0.12319579958232123,0.22883940622010054,0.37977975957367505
6,"[-0.71, -0.6)","[66.67, 77.78)",13,0.03935563201655341,0.0654100731083797,0.15661344803584587,0.3586626512907457,0.5703441392094678,0.683792249569276,0.23300316988265637,0.31434334012008963,0.6012419948663638
7,"[-0.6, -0.41)","[77.78, 88.89)",10,0.0999062012852743,0.1624391615764701,0.2067166402558534,0.54317307193282,0.6875685458557952,0.7192257622077278,0.07323518563348803,0.19871524865254564,0.3010454966037195
8,"[-0.41, 0.54]","[88.89, 100.0]",12,0.03560904187141006,0.09573620608531844,0.17674457630599677,0.3178911306098969,0.46847587287265635,0.6120606092985404,0.29469685437511794,0.3421461367451053,0.6247207477469798
